cb,NPV,SSP,rho,beta,cost_level
0.2,0.05968959770309849,,0.82,3.0,p95
0.25,0.04731250562796506,,0.82,3.0,p95
0.3,0.037058214683866365,,0.82,3.0,p95
0.35,0.028895954575688266,,0.82,3.0,p95
0.4,0.022332186645706405,,0.82,3.0,p95
0.45,0.016961590146613015,,0.82,3.0,p95
0.5,0.012963305789248947,,0.82,3.0,p95
0.55,0.009905920113593489,,0.82,3.0,p95
0.1,0.06867451095493654,,0.82,3.0,p95
0.15,0.05412634971724833,,0.82,3.0,p95
0.2,0.04252830225887549,,0.82,3.0,p95
0.25,0.03404538692670855,,0.82,3.0,p95
0.3,0.027262954602148785,,0.82,3.0,p95
0.35,0.021658497151271765,,0.82,3.0,p95
0.4,0.01734009865954561,,0.82,3.0,p95
0.45,0.013881092660269531,,0.82,3.0,p95
0.5,0.011055794740044355,,0.82,3.0,p95
0.55,0.009101675950648761,,0.82,3.0,p95
